epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,1548.25,0.86686,0.43154,0.99247,0.98097,0.96234,0.98464,0.75635,0.97618,0.43052,1.02838,0.0006536,0.0006536,0.0006536
70,1569.91,0.8289,0.4172,0.97574,0.98042,0.96267,0.98348,0.74901,0.97,0.42015,1.02243,0.0006338,0.0006338,0.0006338
71,1591.63,0.86173,0.42507,0.99246,0.98173,0.956,0.97968,0.7492,0.98223,0.42679,1.02662,0.000614,0.000614,0.000614
72,1613.29,0.84133,0.42133,0.97876,0.97353,0.96533,0.98155,0.75933,0.98671,0.42338,1.02254,0.0005942,0.0005942,0.0005942
73,1634.83,0.79637,0.40468,0.96539,0.9836,0.95951,0.98302,0.75917,0.97922,0.42486,1.0227,0.0005744,0.0005744,0.0005744
74,1657.14,0.83022,0.41392,0.97607,0.9808,0.96267,0.98252,0.75698,0.97948,0.41871,1.01835,0.0005546,0.0005546,0.0005546
75,1680.62,0.82139,0.41528,0.96096,0.98217,0.96133,0.98097,0.73881,1.01502,0.43177,1.02791,0.0005348,0.0005348,0.0005348
76,1702.59,0.81117,0.40381,0.97483,0.98475,0.96533,0.98516,0.76821,0.96457,0.42013,1.01489,0.000515,0.000515,0.000515
77,1724.34,0.78577,0.39731,0.96208,0.98332,0.96267,0.98366,0.76154,0.97135,0.40683,1.02156,0.0004952,0.0004952,0.0004952
78,1745.98,0.82556,0.41266,0.97306,0.98351,0.96533,0.98524,0.77181,0.96714,0.39764,1.01797,0.0004754,0.0004754,0.0004754
79,1767.67,0.79618,0.40009,0.95984,0.9841,0.96267,0.98061,0.7652,0.95908,0.40071,1.01174,0.0004556,0.0004556,0.0004556
80,1789.3,0.82486,0.40583,0.97686,0.98504,0.96565,0.98562,0.77356,0.93858,0.3966,1.00619,0.0004358,0.0004358,0.0004358
81,1811.84,0.77959,0.39419,0.95328,0.98505,0.96623,0.98546,0.76967,0.96417,0.42512,1.00021,0.000416,0.000416,0.000416
82,1833.54,0.80678,0.40114,0.97255,0.97934,0.97067,0.98413,0.76098,0.98303,0.42516,1.01078,0.0003962,0.0003962,0.0003962
83,1855.18,0.78434,0.39158,0.96755,0.98274,0.96533,0.98519,0.78071,0.93893,0.4059,1.01388,0.0003764,0.0003764,0.0003764
84,1876.91,0.76571,0.38658,0.96236,0.97735,0.97067,0.98528,0.77238,0.94911,0.39495,1.01207,0.0003566,0.0003566,0.0003566
85,1899.51,0.7562,0.38223,0.95434,0.97982,0.97129,0.98474,0.77525,0.95598,0.40049,1.01148,0.0003368,0.0003368,0.0003368
86,1935.19,0.79843,0.39601,0.9669,0.98041,0.972,0.98636,0.78466,0.94165,0.39799,1.00492,0.000317,0.000317,0.000317
